Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
e-PWT Noise : whining;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;PowerTrain;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
HVAC and Ventilation Noise;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;HVAC, Cabin;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Rolling Noise;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Road Shake dynamic and static torsion;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Electric System Noise;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Horn Noise Pass By Noise;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Gravillonnage;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Sunload : Extérieur, Intérieur;Durabilité;MG2 CAE;Synthèse;;Tout;Sunning;EQ EX/INT;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Face avant & Face arrière;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Squeak & Rattle : Porte AV , Porte ARR;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Portes;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Vue latérale (Side view);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Squeak & Rattle : Tailegate;Durabilité;MG2 CAE;Synthèse;;Tout;Durabilité;Tailegate;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Face arrière (Rear-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
