Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
Consommations véhicule électrique_numérique;OPTIMIZE CONSUMPTION AND AUTONOMY;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Batterie;Toutes catégories;Physique ;100%;TBD;Développement;1.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Puissance _ véhicules Electriques ECE R85;LONGITUDINAL PERFORMANCE AND DRIVABILITY;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Batterie;Toutes catégories;Physique ;100%;TBD;Développement;15.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Véhicules électriques et hybrides _ Sécurité Electrique  ECE R100 - essais batterie;VEHICLE EE INFRASTRUCTURE;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Batterie;Toutes catégories;Physique ;100%;TBD;Développement;1.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai ensoleillement intérieur;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Sunning;Vieillissement après ensoleillement ;Toutes catégories;Numérique & Physique;100%;To be defined;Industrialisation;23.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai corrosion Accélérée Véhicule;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Corrosion;Vieillissement après ensoleillement ;Toutes catégories;Physique ;100%;To be defined;Industrialisation;180.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai gel;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Fonctionnement en basse température;Vieillissement après ensoleillement ;Toutes catégories;Physique ;100%;TBD;Industrialisation;5.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai gravillonnage courroie accessoire;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Gravillonnage;Tenue composant sous bassement contre gravillonnage;Toutes catégories;Physique ;100%;6500;Industrialisation;5.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai ensoleillement extérieur horizontal;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Sunning;Vieillissement après ensoleillement ;Toutes catégories;Numérique & Physique;100%;TBD;Industrialisation;14.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai ensoleillement extérieur vertical;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Sunning;Vieillissement après ensoleillement ;Toutes catégories;Numérique & Physique;100%;TBD;Industrialisation;14.0;IDIADA Espagne;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai autogravillonnage 20 km (sévérité des impacts sur les organes de sécurité);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Gravillonnage;Tenue composant sous bassement contre gravillonnage;Toutes catégories;;;13000;Industrialisation;10.0;UTAC Oued Zem;;Oui;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calcul écoulement d'eau dans le coffre à l'ouverture des ouvrants;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Étanchéité;Etanchéité du coffre ;Toutes catégories;;;TBD;Développement;3.0;;;;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;NC
ROULAGE RAF PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;15.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 2ANS PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;100.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 3ANS PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;145.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 1AN BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;50.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE BRUIT DE FREIN 5000km PHASE 3;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage Validation Bruits de Freins Phase 4;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE BRUIT DE FREIN 5000km PHASE 4;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 2ANS BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;100.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Coastdown (ISO 17025) — mesure de la traînée aérodynamique;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Aerodynamique;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;145.0;UTAC Oued Zem;"L’essai coastdown est la méthode normalisée pour mesurer la résistance à l’avancement d’un véhicule, c’est?à?dire :

la traînée aérodynamique (C? × A)
les pertes de roulement
les pertes mécaniques

C’est une procédure indispensable pour :
? homologation,
? calibration des modèles véhicules,
? développements aéro,
? consommation/CO?,
? validation CFD / soufflerie.";OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE ESSAIS SPECIAUX;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;50.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE RAF THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;15.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE OBD DERVEMINAGE THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Constant Speed Test;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Aerodynamique;comportement à grande vitesse;Toutes catégories;Physique ;100%;To be defined;Industrialisation;15.0;UTAC Oued Zem;"Le véhicule roule à une vitesse stable (ex : 120, 140 ou 160 km/h).
?? Objectif : mesurer précisément

la charge aérodynamique (downforce),
la traînée (drag),
la hauteur de caisse sous un flux d’air réel.

C’est le test le plus courant dans les roulages aero.";OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE RAF BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;15.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage QAU KAISEN 45K;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;120.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 3ANS THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;120.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 2ANS THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;100.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 1AN THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;35.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage QAU RUPTURE 45K;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;120.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU RUPTURE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;120.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE QAU KAIZEN 1AN PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Fonctionnement général véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;15.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Prove Désactivation du mode banc à rouleau;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;5.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai de tenue en roulage haute vitesse des composants et accessoires fixés sur caisse;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;4300;Industrialisation;10.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai de tenue en roulage haute vitesse des éléments sous caisse;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;2150;Industrialisation;5.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage de systèmes complexes;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;2150;Industrialisation;5.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Essai de dévérouillage capot en roulage à vitesse maxi;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;2150;Industrialisation;5.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Validation roulage sécuritaire ESC accord GEL soft commercial;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;12150;Industrialisation;30.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Validation roulage sécuritaire ESC accord GEL soft final;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;12150;Industrialisation;30.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Confort Vibratoire et Bruit de roulement : MAP;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;4300;Industrialisation;10.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Confort Acoustique (excitation route ) : Bruit de roulement;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;4300;Industrialisation;10.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calculs Confort Vibratoire et Bruit de Roulement;RESIST TO MECHANICAL ENVIRONMENT;MG2 CAE;Synthèse;;Toutes destinations;NVH;Vibroacoustique;Toutes catégories;Physique ;50%;NC;Développement;5.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulages synthèse;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;2150;Industrialisation;5.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Validation roulage sécuritaire ESC accord GEL soft VRS;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;19500;Industrialisation;50.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE VILLE 10 000km;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;27300;Industrialisation;70.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE CTR 30 000km THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;39000;Industrialisation;100.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE CTR 60 000km THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;75000;Industrialisation;200.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE CTR 60 000km PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;75000;Industrialisation;200.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE CTR 30 000km BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;56250;Industrialisation;150.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO SYNTHESE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;25.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO GMP;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;25.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE OBD DERVEMINAGE PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;16200;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE OBD DERVEMINAGE BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;16200;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE FORTE CHARGE THERMIQUE/PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;31200;Industrialisation;80.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE OBD VALIDATION 5000km;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;32400;Industrialisation;55.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE OBD VALIDATION 10 000km;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;23400;Industrialisation;60.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
